Change_ID,Aircraft_Model,Company,Part_Number,Primary_Part,Assembly,Problem_Description,Source_of_Report,Material_Type,Original_Length,Original_Height,Original_Width,Changed_Length,Changed_Height,Changed_Width,Change_Type,Date_Reported,Impacted_Items,Impacted_Organizations,Severity_Score,Priority,,,,,,
CR-737-0011,Boeing 737-800,Boeing Commercial Airplanes,737-71-5371-003,Engine_Cowling,Propulsion,Corrosion detected on surface coating affecting structural integrity,Customer_Operations,Aluminum 6061-T6,59.26,49.79,89.75,58.12,48.65,88.61,Material_Change,2023-09-27,Left_Wing_Box|Engine_1|Engine_Mount|Engine_2|Engine_Cowling|Propulsion,Customer_Operations|Materials_Engineering|Systems_Engineering|Structural_Engineering|Certification|Quality_Assurance|Configuration_Management|Production_Control|Flight_Test,10.0,High,,,,,,
CR-737-0012,Boeing 737-800,Boeing Commercial Airplanes,737-38-4258-002,MLG_Brake_System,Landing_Gear,Fastener hole misalignment discovered during assembly process,Supplier_Boeing_Wichita,Magnesium AZ31B,486.46,147.19,75.61,487.97,148.7,77.12,Quality_Requirement_Change,2023-01-01,Main_Landing_Gear|MLG_Brake_System|MLG_Wheel_Assembly|Landing_Gear|MLG_Strut,Manufacturing_Engineering|Systems_Engineering|Structural_Engineering|Supplier_Boeing_Wichita|Quality_Assurance|Supplier_Management|Field_Support,4.33,Medium,,,,,,
CR-737-0013,Boeing 737-800,Boeing Commercial Airplanes,737-53-6038-002,Emergency_Exit_Frame,Fuselage,Fatigue crack observed in structural component during routine inspection,Supplier_Spirit_AeroSystems,Aluminum 7075-T6,424.6,116.36,93.5,423.22,114.98,92.12,Assembly_Sequence_Change,2023-03-12,Emergency_Exit_Frame|Center_Fuselage|Rear_Pressure_Bulkhead|Passenger_Door_Frame|Fuselage,Structural_Engineering|Quality_Assurance|Supplier_Management|Configuration_Management|Production_Control|Supplier_Spirit_AeroSystems|Flight_Test,5.0,Medium,,,,,,
CR-737-0014,Boeing 737-800,Boeing Commercial Airplanes,737-57-7932-002,Vertical_Fin_Box,Empennage,Surface treatment adhesion failure compromising protection coating,Maintenance_Planning,Carbon Fiber Composite,145.55,134.36,39.94,146.26,135.07,40.65,Fastener_Change,2024-11-18,Vertical_Fin_Box|Empennage|Vertical_Stabilizer,Materials_Engineering|Maintenance_Planning|Structural_Engineering|Quality_Assurance|Field_Support|Production_Control,1.92,Low,,,,,,
CR-737-0015,Boeing 737-800,Boeing Commercial Airplanes,737-99-5061-002,Right_Aileron,Wing,Corrosion detected on surface coating affecting structural integrity,Manufacturing_Engineering,Aluminum 2024-T3,131.82,55.37,55.29,132.11,55.66,55.58,Design_Modification,2024-08-25,Wing|Right_Wing|Right_Flap_System|Right_Aileron|Right_Wing_Box,Manufacturing_Engineering|Materials_Engineering|Systems_Engineering|Structural_Engineering|Certification|Quality_Assurance|Supplier_Management|Configuration_Management|Flight_Test,2.2,High,,,,,,
CR-737-0016,Boeing 737-800,Boeing Commercial Airplanes,737-32-1514-003,Landing_Gear,Landing_Gear,Corrosion detected on surface coating affecting structural integrity,Maintenance_Planning,Carbon Fiber Composite,132.53,58.11,11.27,131.79,57.37,10.53,Assembly_Sequence_Change,2023-08-08,Landing_Gear,Materials_Engineering|Systems_Engineering|Customer_Support|Maintenance_Planning|Structural_Engineering|Quality_Assurance|Certification|Field_Support,0.56,Low,,,,,,
CR-737-0017,Boeing 737-800,Boeing Commercial Airplanes,737-99-8744-002,Vertical_Stabilizer,Empennage,Assembly interference detected during fit-up verification,Flight_Test,Aluminum 6061-T6,186.91,27.47,10.63,185.88,26.44,9.6,Dimensional_Change,2024-11-05,Empennage|Horizontal_Stabilizer|Vertical_Stabilizer|Right_Elevator|Rudder,Manufacturing_Engineering|Materials_Engineering|Structural_Engineering|Quality_Assurance|Configuration_Management|Production_Control|Flight_Test,6.46,Medium,,,,,,
CR-737-0018,Boeing 737-800,Boeing Commercial Airplanes,737-99-2612-001,MLG_Wheel_Assembly,Landing_Gear,Stress concentration area showing signs of material degradation,Manufacturing_Engineering,Aluminum 7075-T6,286.14,77.97,31.61,285.3,77.13,30.77,Design_Modification,2024-07-03,Main_Landing_Gear|MLG_Brake_System|Main_Landing_Gear_Bay|MLG_Wheel_Assembly|Landing_Gear|MLG_Strut,Manufacturing_Engineering|Materials_Engineering|Systems_Engineering|Structural_Engineering|Certification|Quality_Assurance|Field_Support|Supplier_Management|Configuration_Management|Flight_Test,7.53,High,,,,,,
CR-737-0019,Boeing 737-800,Boeing Commercial Airplanes,737-32-8260-201,Landing_Gear,Landing_Gear,Corrosion detected on surface coating affecting structural integrity,Quality_Assurance,Magnesium AZ31B,244.38,120.75,19.07,245.5,121.87,20.19,Dimensional_Change,2023-08-31,Landing_Gear,Manufacturing_Engineering|Systems_Engineering|Customer_Support|Structural_Engineering|Quality_Assurance|Field_Support|Configuration_Management|Production_Control,1.4,Medium,,,,,,
CR-737-0020,Boeing 737-800,Boeing Commercial Airplanes,737-57-7570-001,Left_Wing_Box,Wing,Dimensional tolerance exceeded during manufacturing quality check,Design_Engineering,Aluminum 2024-T3,181.05,174.43,33.42,182.67,176.05,35.04,Tolerance_Adjustment,2024-04-10,Wing|Left_Wing_Box|Left_Wing|Left_Slat_System|Engine_Cowling,Systems_Engineering|Structural_Engineering|Quality_Assurance|Certification|Configuration_Management|Production_Control|Design_Engineering|Flight_Test,5.0,Medium,,,,,,
CR-737-0021,Boeing 737-800,Boeing Commercial Airplanes,737-71-4566-001,Engine_2,Propulsion,Thermal expansion mismatch causing joint stress concentration,Maintenance_Planning,Aluminum 2024-T3,325.33,140.05,25.93,326.16,140.88,26.76,Material_Change,2023-02-21,Engine_Mount|Thrust_Reverser|Engine_2|Engine_Cowling|Propulsion|Right_Wing_Box,Manufacturing_Engineering|Materials_Engineering|Systems_Engineering|Maintenance_Planning|Structural_Engineering|Certification|Quality_Assurance|Supplier_Management|Configuration_Management|Flight_Test,7.44,High,,,,,,
CR-737-0022,Boeing 737-800,Boeing Commercial Airplanes,737-38-2113-002,MLG_Brake_System,Landing_Gear,Stress concentration area showing signs of material degradation,Field_Operations,Carbon Fiber Composite,112.77,98.37,12.57,113.03,98.63,12.83,Material_Change,2024-09-26,Main_Landing_Gear|MLG_Brake_System|MLG_Wheel_Assembly|Landing_Gear|MLG_Strut,Materials_Engineering|Systems_Engineering|Field_Operations|Customer_Support|Structural_Engineering|Certification|Quality_Assurance|Field_Support|Supplier_Management|Flight_Test,1.98,High,,,,,,
CR-737-0023,Boeing 737-800,Boeing Commercial Airplanes,737-32-5351-101,Nose_Landing_Gear_Bay,Fuselage,Dimensional tolerance exceeded during manufacturing quality check,Customer_Operations,Stainless Steel 316L,181.47,191.56,91.84,180.86,190.95,91.23,Dimensional_Change,2023-01-10,Fuselage|Nose_Landing_Gear_Bay|Cockpit_Frame|Forward_Fuselage,Manufacturing_Engineering|Customer_Operations|Structural_Engineering|Quality_Assurance|Supplier_Management|Field_Support|Certification|Production_Control,3.07,Medium,,,,,,
CR-737-0024,Boeing 737-800,Boeing Commercial Airplanes,737-99-6718-001,NLG_Wheel_Assembly,Landing_Gear,Surface treatment adhesion failure compromising protection coating,Supplier_Spirit_AeroSystems,Inconel 718,214.86,149.46,10.74,214.14,148.74,10.02,Assembly_Sequence_Change,2024-07-10,Landing_Gear|Nose_Landing_Gear|NLG_Wheel_Assembly,Materials_Engineering|Systems_Engineering|Structural_Engineering|Quality_Assurance|Supplier_Management|Field_Support|Certification|Production_Control|Supplier_Spirit_AeroSystems,1.61,Low,,,,,,
CR-737-0025,Boeing 737-800,Boeing Commercial Airplanes,737-57-5905-001,Right_Wing,Wing,Surface treatment adhesion failure compromising protection coating,Supplier_Boeing_Wichita,Steel 4340,255.23,187.43,76.25,253.95,186.15,74.97,Dimensional_Change,2024-07-20,Wing|Right_Wing,Manufacturing_Engineering|Customer_Support|Structural_Engineering|Supplier_Boeing_Wichita|Quality_Assurance|Supplier_Management|Certification|Production_Control,3.21,Medium,,,,,,
CR-737-0026,Boeing 737-800,Boeing Commercial Airplanes,737-57-6617-002,Left_Wing_Box,Wing,Vibration-induced loosening of critical fastener connections,Customer_Operations,Magnesium AZ31B,403.33,114.97,23.69,403.29,114.93,23.65,Material_Change,2023-04-05,Front_Spar|Wing|Left_Wing_Box|Engine_Mount|Left_Wing|Left_Slat_System|Engine_Cowling,Customer_Operations|Materials_Engineering|Systems_Engineering|Structural_Engineering|Certification|Quality_Assurance|Supplier_Management|Field_Support|Flight_Test,0.39,High,,,,,,
CR-737-0027,Boeing 737-800,Boeing Commercial Airplanes,737-57-8239-201,Right_Wing_Box,Wing,Impact damage assessment reveals underlying structural concerns,Design_Engineering,Magnesium AZ31B,139.85,66.6,92.1,138.22,64.97,90.47,Dimensional_Change,2024-12-08,Front_Spar|Wing|Right_Wing|Right_Flap_System|Right_Wing_Box,Manufacturing_Engineering|Structural_Engineering|Quality_Assurance|Certification|Supplier_Management|Production_Control|Design_Engineering,8.33,Medium,,,,,,
CR-737-0028,Boeing 737-800,Boeing Commercial Airplanes,737-99-1685-003,NLG_Wheel_Assembly,Landing_Gear,Fastener hole misalignment discovered during assembly process,Quality_Assurance,Inconel 718,281.41,29.51,90.35,280.44,28.54,89.38,Design_Modification,2024-11-13,Landing_Gear|Nose_Landing_Gear|NLG_Wheel_Assembly,Materials_Engineering|Systems_Engineering|Structural_Engineering|Certification|Quality_Assurance|Field_Support|Configuration_Management|Production_Control|Flight_Test,4.35,High,,,,,,
CR-737-0029,Boeing 737-800,Boeing Commercial Airplanes,737-53-3532-002,Forward_Fuselage,Fuselage,Material property variation affecting load distribution characteristics,Supplier_Boeing_Wichita,Titanium Ti-6Al-4V,316.59,150.7,68.85,317.86,151.97,70.12,Material_Change,2023-07-03,Fuselage|Forward_Fuselage|Cockpit_Frame|Nose_Landing_Gear_Bay,Manufacturing_Engineering|Materials_Engineering|Structural_Engineering|Supplier_Boeing_Wichita|Quality_Assurance|Certification|Supplier_Management|Field_Support|Configuration_Management|Flight_Test,7.62,High,,,,,,
CR-737-0030,Boeing 737-800,Boeing Commercial Airplanes,737-57-2771-101,Right_Wing_Box,Wing,Material property variation affecting load distribution characteristics,Quality_Assurance,Stainless Steel 316L,70.9,41.83,70.5,69.97,40.9,69.57,Assembly_Sequence_Change,2023-12-25,Wing|Right_Wing_Box|Right_Wing|Engine_Mount,Manufacturing_Engineering|Systems_Engineering|Structural_Engineering|Quality_Assurance|Flight_Test,2.78,Medium,,,,,,
CR-737-0031,Boeing 737-800,Boeing Commercial Airplanes,737-99-4164-101,Rear_Pressure_Bulkhead,Fuselage,Fastener hole misalignment discovered during assembly process,Customer_Operations,Aluminum 7075-T6,323.4,74.5,10.48,324.96,76.06,12.04,Tolerance_Adjustment,2023-12-26,Emergency_Exit_Frame|Rear_Pressure_Bulkhead|Passenger_Door_Frame|Fuselage|Aft_Fuselage,Manufacturing_Engineering|Customer_Operations|Structural_Engineering|Quality_Assurance,5.0,Medium,,,,,,
CR-737-0032,Boeing 737-800,Boeing Commercial Airplanes,737-57-3925-201,Wing_Box_Interface,Fuselage,Surface finish irregularity causing aerodynamic performance issues,Quality_Assurance,Aluminum 7075-T6,126.74,115.84,98.64,127.06,116.16,98.96,Surface_Treatment_Change,2023-11-18,Wing_Box_Interface|Fuselage|Center_Fuselage,Manufacturing_Engineering|Customer_Support|Structural_Engineering|Certification|Quality_Assurance,0.58,Low,,,,,,
CR-737-0033,Boeing 737-800,Boeing Commercial Airplanes,737-57-1727-101,Wing_Box_Interface,Fuselage,Fatigue crack observed in structural component during routine inspection,Maintenance_Planning,Magnesium AZ31B,79.27,121.59,89.0,79.89,122.21,89.62,Design_Modification,2024-01-08,Main_Landing_Gear_Bay|Center_Fuselage|Wing_Box_Interface|Wing_Fuel_Tank|Fuselage,Materials_Engineering|Systems_Engineering|Maintenance_Planning|Structural_Engineering|Certification|Quality_Assurance|Supplier_Management|Configuration_Management|Flight_Test,4.68,High,,,,,,
CR-737-0034,Boeing 737-800,Boeing Commercial Airplanes,737-99-6067-101,APU_Bay,Fuselage,Fastener hole misalignment discovered during assembly process,Design_Engineering,Steel 4340,477.0,128.1,90.56,477.18,128.28,90.74,Design_Modification,2024-03-06,Fuselage|Aft_Fuselage|APU_Bay,Materials_Engineering|Structural_Engineering|Certification|Quality_Assurance|Configuration_Management|Production_Control|Design_Engineering|Flight_Test,0.81,High,,,,,,
CR-737-0035,Boeing 737-800,Boeing Commercial Airplanes,737-38-5930-101,NLG_Steering_System,Landing_Gear,Wear pattern inconsistency observed during maintenance inspection,Quality_Assurance,Steel 4340,484.53,49.93,69.33,483.82,49.22,68.62,Fastener_Change,2024-08-16,Nose_Landing_Gear|NLG_Steering_System|Landing_Gear,Materials_Engineering|Systems_Engineering|Structural_Engineering|Quality_Assurance|Supplier_Management|Field_Support|Production_Control,1.92,Low,,,,,,
CR-737-0036,Boeing 737-800,Boeing Commercial Airplanes,737-99-4501-201,NLG_Strut,Landing_Gear,Manufacturing defect in composite layup causing delamination risk,Supplier_Boeing_Wichita,Aluminum 7075-T6,413.78,88.35,41.03,413.06,87.63,40.31,Surface_Treatment_Change,2023-04-06,Nose_Landing_Gear|NLG_Strut|Landing_Gear,Systems_Engineering|Structural_Engineering|Supplier_Boeing_Wichita|Quality_Assurance|Supplier_Management|Field_Support|Production_Control,1.3,Low,,,,,,
CR-737-0037,Boeing 737-800,Boeing Commercial Airplanes,737-57-4680-002,Wing_Fuel_Tank,Wing,Dimensional tolerance exceeded during manufacturing quality check,Quality_Assurance,Aluminum 2024-T3,187.08,131.09,90.43,186.23,130.24,89.58,Assembly_Sequence_Change,2024-09-17,Wing_Fuel_Tank|Wing_Center_Section|Wing,Structural_Engineering|Certification|Quality_Assurance|Customer_Support,1.91,Low,,,,,,
CR-737-0038,Boeing 737-800,Boeing Commercial Airplanes,737-38-7291-101,Left_Slat_System,Wing,Stress concentration area showing signs of material degradation,Supplier_Spirit_AeroSystems,Titanium Ti-6Al-4V,93.95,194.57,36.24,94.47,195.09,36.76,Material_Change,2023-04-20,Wing|Left_Flap_System|Left_Wing_Box|Left_Wing|Left_Slat_System|Left_Aileron,Materials_Engineering|Structural_Engineering|Certification|Quality_Assurance|Supplier_Management|Production_Control|Supplier_Spirit_AeroSystems|Flight_Test,4.68,High,,,,,,
CR-737-0039,Boeing 737-800,Boeing Commercial Airplanes,737-32-2988-101,Nose_Landing_Gear_Bay,Fuselage,Dimensional tolerance exceeded during manufacturing quality check,Flight_Test,Magnesium AZ31B,357.9,150.97,60.64,359.53,152.6,62.27,Surface_Treatment_Change,2024-03-29,Fuselage|Nose_Landing_Gear_Bay|Cockpit_Frame|Forward_Fuselage,Structural_Engineering|Quality_Assurance|Flight_Test|Production_Control,3.2,Medium,,,,,,
CR-737-0040,Boeing 737-800,Boeing Commercial Airplanes,737-99-5246-002,NLG_Strut,Landing_Gear,Material property variation affecting load distribution characteristics,Customer_Operations,Magnesium AZ31B,248.07,186.07,18.98,248.02,186.02,18.93,Design_Modification,2023-10-09,Nose_Landing_Gear|NLG_Strut|Landing_Gear,Customer_Operations|Materials_Engineering|Systems_Engineering|Customer_Support|Structural_Engineering|Certification|Quality_Assurance|Field_Support|Flight_Test,0.22,High,,,,,,
CR-737-0041,Boeing 737-800,Boeing Commercial Airplanes,737-32-5451-003,Nose_Landing_Gear_Bay,Fuselage,Fastener hole misalignment discovered during assembly process,Maintenance_Planning,Aluminum 7075-T6,104.92,157.2,92.98,103.71,155.99,91.77,Design_Modification,2024-01-28,Fuselage|Nose_Landing_Gear_Bay|Cockpit_Frame|Forward_Fuselage,Materials_Engineering|Maintenance_Planning|Structural_Engineering|Certification|Quality_Assurance|Field_Support|Flight_Test,7.24,High,,,,,,
CR-737-0042,Boeing 737-800,Boeing Commercial Airplanes,737-99-6421-201,Left_Elevator,Empennage,Manufacturing defect in composite layup causing delamination risk,Design_Engineering,Aluminum 2024-T3,272.83,126.51,22.67,271.85,125.53,21.69,Fastener_Change,2024-02-03,Left_Elevator|Empennage|Horizontal_Stabilizer|Rudder,Materials_Engineering|Systems_Engineering|Structural_Engineering|Quality_Assurance|Design_Engineering,3.52,Medium,,,,,,
CR-737-0043,Boeing 737-800,Boeing Commercial Airplanes,737-57-5892-101,Wing,Wing,Material property variation affecting load distribution characteristics,Design_Engineering,Magnesium AZ31B,65.47,54.56,30.24,66.3,55.39,31.07,Quality_Requirement_Change,2024-09-09,Wing,Design_Engineering|Materials_Engineering|Structural_Engineering|Quality_Assurance,0.54,Low,,,,,,
CR-737-0044,Boeing 737-800,Boeing Commercial Airplanes,737-53-5471-101,Forward_Door_Frame,Fuselage,Manufacturing defect in composite layup causing delamination risk,Quality_Assurance,Aluminum 6061-T6,459.19,140.0,60.23,458.64,139.45,59.68,Fastener_Change,2023-06-19,Forward_Door_Frame|Fuselage|Forward_Fuselage,Structural_Engineering|Quality_Assurance|Flight_Test|Production_Control,1.48,Low,,,,,,
CR-737-0045,Boeing 737-800,Boeing Commercial Airplanes,737-57-7455-201,Wing_Center_Section,Wing,Thermal expansion mismatch causing joint stress concentration,Quality_Assurance,Aluminum 7075-T6,166.45,132.21,78.77,166.93,132.69,79.25,Process_Change,2024-04-17,Wing|Wing_Center_Section|Main_Spar,Manufacturing_Engineering|Materials_Engineering|Structural_Engineering|Quality_Assurance|Certification|Production_Control,1.43,Medium,,,,,,
CR-737-0046,Boeing 737-800,Boeing Commercial Airplanes,737-57-8449-003,Left_Wing_Box,Wing,Fastener hole misalignment discovered during assembly process,Design_Engineering,Steel 4340,348.14,128.44,65.74,348.98,129.28,66.58,Fastener_Change,2023-09-16,Wing|Left_Wing|Left_Wing_Box,Systems_Engineering|Structural_Engineering|Quality_Assurance|Production_Control|Design_Engineering,2.27,Low,,,,,,
CR-737-0047,Boeing 737-800,Boeing Commercial Airplanes,737-99-6733-002,MLG_Wheel_Assembly,Landing_Gear,Vibration-induced loosening of critical fastener connections,Field_Operations,Aluminum 2024-T3,190.27,108.16,30.89,191.12,109.01,31.74,Design_Modification,2023-07-24,Main_Landing_Gear|MLG_Brake_System|MLG_Wheel_Assembly|Landing_Gear|MLG_Strut,Materials_Engineering|Systems_Engineering|Field_Operations|Structural_Engineering|Certification|Quality_Assurance|Field_Support|Supplier_Management|Flight_Test,6.35,High,,,,,,
CR-737-0048,Boeing 737-800,Boeing Commercial Airplanes,737-57-2874-201,Left_Wing,Wing,Material thickness variation beyond specification limits detected,Flight_Test,Steel 4340,284.03,115.16,10.08,284.92,116.05,10.97,Process_Change,2024-09-12,Left_Wing|Wing,Manufacturing_Engineering|Materials_Engineering|Systems_Engineering|Structural_Engineering|Quality_Assurance|Certification|Production_Control|Flight_Test,1.78,Medium,,,,,,
CR-737-0049,Boeing 737-800,Boeing Commercial Airplanes,737-57-2771-201,Wing_Fuel_Tank,Wing,Fatigue crack observed in structural component during routine inspection,Customer_Operations,Aluminum 6061-T6,296.02,80.2,78.14,295.68,79.86,77.8,Design_Modification,2023-03-19,Wing|Main_Landing_Gear_Bay|Center_Fuselage|Wing_Center_Section|Wing_Box_Interface|Wing_Fuel_Tank,Customer_Operations|Materials_Engineering|Customer_Support|Structural_Engineering|Certification|Quality_Assurance|Supplier_Management|Configuration_Management|Flight_Test,3.09,High,,,,,,
CR-737-0050,Boeing 737-800,Boeing Commercial Airplanes,737-99-2983-201,Left_Aileron,Wing,Assembly interference detected during fit-up verification,Quality_Assurance,Inconel 718,133.18,113.48,98.67,133.29,113.59,98.78,Surface_Treatment_Change,2023-03-12,Wing|Left_Wing_Box|Left_Aileron|Left_Wing|Left_Flap_System,Structural_Engineering|Quality_Assurance|Customer_Support,0.33,Medium,,,,,,
CR-737-0051,Boeing 737-800,Boeing Commercial Airplanes,737-53-2729-101,Passenger_Door_Frame,Fuselage,Fastener hole misalignment discovered during assembly process,Flight_Test,Titanium Ti-6Al-4V,486.31,55.56,82.89,486.09,55.34,82.67,Quality_Requirement_Change,2024-10-28,Passenger_Door_Frame|Fuselage|Center_Fuselage|Rear_Pressure_Bulkhead,Structural_Engineering|Quality_Assurance|Supplier_Management|Configuration_Management|Production_Control|Flight_Test,0.56,Medium,,,,,,
CR-737-0052,Boeing 737-800,Boeing Commercial Airplanes,737-38-5397-003,Right_Slat_System,Wing,Material property variation affecting load distribution characteristics,Supplier_Spirit_AeroSystems,Aluminum 7075-T6,398.81,164.93,51.42,398.07,164.19,50.68,Assembly_Sequence_Change,2023-09-07,Wing|Right_Slat_System|Right_Wing|Right_Flap_System,Materials_Engineering|Systems_Engineering|Customer_Support|Structural_Engineering|Quality_Assurance|Supplier_Management|Supplier_Spirit_AeroSystems,2.21,Medium,,,,,,
CR-737-0053,Boeing 737-800,Boeing Commercial Airplanes,737-53-6325-002,Passenger_Door_Frame,Fuselage,Manufacturing defect in composite layup causing delamination risk,Supplier_Spirit_AeroSystems,Inconel 718,472.77,53.44,91.34,473.76,54.43,92.33,Surface_Treatment_Change,2023-10-14,Center_Fuselage|Rear_Pressure_Bulkhead|Passenger_Door_Frame|Fuselage|Aft_Fuselage,Systems_Engineering|Structural_Engineering|Quality_Assurance|Supplier_Management|Certification|Configuration_Management|Supplier_Spirit_AeroSystems,2.98,Medium,,,,,,
CR-737-0054,Boeing 737-800,Boeing Commercial Airplanes,737-32-7658-101,Nose_Landing_Gear_Bay,Fuselage,Wear pattern inconsistency observed during maintenance inspection,Supplier_Spirit_AeroSystems,Stainless Steel 316L,452.67,35.29,46.89,453.16,35.78,47.38,Assembly_Sequence_Change,2024-04-03,Nose_Landing_Gear_Bay|Fuselage|Forward_Fuselage,Structural_Engineering|Quality_Assurance|Supplier_Management|Field_Support|Supplier_Spirit_AeroSystems,1.09,Low,,,,,,
CR-737-0055,Boeing 737-800,Boeing Commercial Airplanes,737-53-7625-002,Forward_Door_Frame,Fuselage,Surface finish irregularity causing aerodynamic performance issues,Manufacturing_Engineering,Stainless Steel 316L,319.05,98.52,57.24,319.23,98.7,57.42,Surface_Treatment_Change,2024-03-11,Forward_Door_Frame|Fuselage|Forward_Fuselage,Manufacturing_Engineering|Customer_Support|Structural_Engineering|Quality_Assurance|Certification|Configuration_Management,0.32,Low,,,,,,
CR-737-0056,Boeing 737-800,Boeing Commercial Airplanes,737-99-8434-003,Tail_Cone,Fuselage,Surface finish irregularity causing aerodynamic performance issues,Customer_Operations,Carbon Fiber Composite,464.84,138.5,52.94,463.58,137.24,51.68,Design_Modification,2023-11-20,Tail_Cone|Fuselage|Aft_Fuselage,Manufacturing_Engineering|Customer_Operations|Materials_Engineering|Customer_Support|Structural_Engineering|Certification|Quality_Assurance|Production_Control|Flight_Test,5.69,High,,,,,,
